Nom,Adresse,Prestations,Tel,Website,page
 Lolypop Kitchen ," 118 av Jean Jaurès, 75019 PARIS", , 06 85 81 92 72 ,null http://www.facebook.com/LolypopKitchen http://lolypopkitchen.com,46
 Subway ," 46 r Miromesnil, 75008 PARIS"," Prestations : sandwicherie, saladerie", 09 54 11 09 36 ,null http://www.facebook.com/subway http://www.facebook.com/SubwayEnFrance http://www.subway.com/fr-fr,46
 Causses ," 99 r Rambuteau, 75001 PARIS", , 01 45 65 10 10 ,null http://www.facebook.com/causses/ http://www.causses.org/?fbclid=IwAR1v4PbtZlb3HCVZX6j0E-_FULdhSp4KX-DgWHKv7D3nOdAuyyYjYl0K6HU,46
 Pharmacie Du Maréchal Juin SELAS ," 7 pl Mar Juin, 75017 PARIS"," Prestations : saladerie, sandwicherie", 01 47 63 34 39 ,null http://www.facebook.com/Linasparismarechaljuin http://www.linasparis.com http://pharmacie.parispharma.com/700987-pharmacie-place-marechal-juin,46
 Subway ," 85 r Reuilly, 75012 PARIS"," Prestations : sandwicherie, saladerie", 01 44 75 51 86 ,null http://www.facebook.com/pages/Subway/166244430075449 http://www.facebook.com/SubwayEnFrance http://www.subway.com/fr-fr,46
 CECILIAGEHAN ," 9 r Bourdaloue, 75009 PARIS", , 06 86 60 33 08 , ,46
 Exki ," 9 bd Italiens, 75002 PARIS"," Prestations : saladerie, sandwicherie", 01 42 61 06 52 ,null http://www.facebook.com/exkirestaurants http://www.exki.com/en/restaurants/exki-bd-des-italiens http://www.exki.fr,46
 Big Fernand ," 55 r Fbg Poissonnière, 75009 PARIS", , 01 73 70 51 52 ,null http://www.facebook.com/BigFernandPoissonniere http://www.bigfernand.com/fr http://www.bigfernand.com,46
 Lina's ," 17 bd Malesherbes, 75008 PARIS"," Prestations : saladerie, sandwicherie", 01 53 30 07 82 ,null http://www.facebook.com/Linasparismalesherbes http://www.linasparis.com/#restaurants,46
 Subway ," 3 r Lakanal, 75015 PARIS"," Prestations : saladerie, sandwicherie", 01 83 87 77 32 ,null http://www.facebook.com/subway http://www.subway.com/fr-fr http://www.subwayfrance.fr,46
 Subway ," 85 r Alésia, 75014 PARIS"," Prestations : saladerie, sandwicherie", 09 83 26 49 08 ,null http://www.facebook.com/SubwayEnFrance http://www.subway.com/fr-fr http://www.subwayfrance.fr,46
 Caboche Olga ," 25 r Pradier, 75019 PARIS", , 01 42 03 66 63 , ,46
 Lina's ," 8 r Marbeuf, 75008 PARIS"," Prestations : sandwicherie, saladerie", 01 42 33 37 37 ,null http://www.facebook.com/Linasparismarbeuf http://www.linasparis.com,46
 Bah Maïmouna ," 5 r Keller, 75011 PARIS", , 01 48 06 44 31 ,http://www.facebook.com/pages/Bah-Ma%C3%AFmouna/1933678080208233,46
 Mission Mariage ," 74 r Dunois, 75013 PARIS", , 01 43 64 23 70 ,null http://www.facebook.com/missionmariageparis http://www.missionmariage.com,46
 Maison Duc ," 7 r Taïti, 75012 PARIS"," Prestations : traiteur asiatique, traiteur à domicile, repas d'affaire, repas d'anniversaire, repas sans gluten, plateau repas, boisson, vente à emporter", 01 44 74 02 11 , ,46
 PETIT COMITE ," 191 r Fbg St Denis, 75010 PARIS", , 01 55 35 12 65 , ,46
 McDonald's Carrousel du Louvre ," 99 r Rivoli, 75001 PARIS", , 01 49 70 83 30 , ,46
 Zumo ," 30 av Corentin Cariou, 75019 PARIS", , 01 45 55 71 25 ,null http://www.facebook.com/Le-Comptoir-VillUp-396416747371259 http://zumo-bars.com,46
 Lenôtre ," 36 av La Motte Picquet, 75007 PARIS", , ,null http://www.facebook.com/pages/Len%C3%B4tre/298032554048533 http://www.facebook.com/pages/Traiteur-Len%C3%B4tre/283115245476556 http://www.facebook.com/Lenotre,46
 Lenôtre ," 36 av La Motte Picquet, 75007 PARIS", , 01 45 55 71 25 ,null http://www.facebook.com/pages/Len%C3%B4tre/298032554048533 http://www.facebook.com/pages/Traiteur-Len%C3%B4tre/283115245476556 http://www.facebook.com/Lenotre,47
 Edery Yafa ," 14 Bis r Marbeuf, 75008 PARIS", , 01 47 20 17 77 , ,47
 A L'Italienne ," 4 r Lobineau, 75006 PARIS"," Prestations : traiteur italien, cuisine italienne", 01 46 33 15 91 ,http://www.alitalienne-traiteur.fr,47
 Bagelstein ," 55 av Marceau, 75116 PARIS", , 09 84 20 87 55 ,null http://www.facebook.com/BagelsteinAvenueMarceau http://www.facebook.com/bagelstein http://www.bagelstein.com/magasin?id=44,47
 Le Relais Gourmet SAS JCG ," 28 r Berthollet, 75005 PARIS", , 01 47 07 62 91 ,null http://www.facebook.com/lerelaisgourmet.fr http://www.lerelaisgourmet.fr,47
 Alliance 3 ," 112 av Jean Jaurès, 75019 PARIS"," Paiement : CB, Visa, Mastercard, American Express, Titres restaurants", 01 42 41 48 02 ,null http://www.facebook.com/3Alliance3 http://www.alliance3-brasserie-restaurant.fr,47
 Vaz Mélanie ," 47 r Héricart, 75015 PARIS", , 01 73 71 60 13 , ,47
 Noura Traiteur ," 33 av Pierre 1er de Serbie, 75116 PARIS"," Prestations : repas d'affaire, repas d'anniversaire, cuisinier, plateau repas, organisation de réceptions, boisson, location de matériel de réception, location de vaisselle, location de salle, personnel de réception, maître d'hôtel, traiteur halal, traiteur libanais", 01 47 23 58 20 ,null http://www.facebook.com/Noura-France-267236430348343 http://www.noura.com,47
 Poilâne ," 8 r Cherche Midi, 75006 PARIS", , 01 45 48 42 59 ,null http://www.facebook.com/painpoilane http://www.poilane.com,47
 LA CUISINE SAUVAGE ," 10 r Nonnains d'Hyères, 75004 PARIS", , 06 50 12 85 40 , ,47
 Pazzo ," 45 r Miromesnil, 75008 PARIS", , 01 40 07 55 78 ,null http://www.facebook.com/pazzo.paris http://www.pazzo.fr,47
 Kifolie ," 112 bd Belleville, 75020 PARIS", , 01 47 97 53 13 ,http://www.facebook.com/pages/King-Delices/159702090723712,47
 Pegast Mall ," 8 r Ponthieu, 75008 PARIS", Prestations : sandwicherie, 01 53 75 13 17 ,null http://fr-fr.facebook.com/lemeilleurestalinterieur http://www.pegast.fr,47
 Dieujuste Emmanuella ," 101 r Croix Nivert, 75015 PARIS", , 01 83 89 35 17 , ,47
 Progrès et Splendeur ," 60 r Quincampoix, 75004 PARIS", , 01 77 32 49 60 , ,47
